title,link
Text of PM's remarks at the India-Bangladesh virtual bilateral summit,https://www.narendramodi.in/text-of-prime-minister-narendra-modi-s-remarks-at-the-india-bangladesh-virtual-bilateral-summit
One has to keep up with the changing times and embrace global best practices: PM,https://www.narendramodi.in/prime-minister-narendra-modis-address-at-foundation-stone-laying-ceremony-of-several-development-projects-in-kutch-gujarat
India is not only on track to achieve its Paris Agreement targets but to exceed them beyond expectations: PM,https://www.narendramodi.in/text-of-prime-minister-s-message-at-climate-ambition-summit
Indian economy is recovering at a swift pace and economic indicators are encouraging: PM Modi,https://www.narendramodi.in/text-of-prime-minister-narendra-modi-s-address-at-the-93rd-annual-general-meeting-of-ficci
Govt’s women led empowerment policies are tribute to the vision of Subramanya Bharathi: PM,https://www.narendramodi.in/text-of-prime-minister-narendra-modis-address-at-international-bharati-festival-2020
PM's opening remarks in the India-Uzbekistan virtual summit,https://www.narendramodi.in/pm-s-opening-remarks-in-the-india-uzbekistan-virtual-summit
New Parliament will fulfill aspirations of 21st century India: PM Modi,https://www.narendramodi.in/text-of-pms-address-at-the-laying-of-foundation-stone-of-new-parliament-building
"The digital potential of our nation is unparalleled, perhaps even in the history of mankind: PM",https://www.narendramodi.in/text-of-prime-minister-narendra-modi-s-address-to-indian-mobile-congress
Better connectivity benefits tourism sector the most: PM Modi,https://www.narendramodi.in/text-of-prime-minister-narendra-modi-s-address-on-inauguration-of-construction-work-of-the-agra-metro-project
Pan IIT movement can help realise dream of Aatmanirbhar Bharat: PM Modi,https://www.narendramodi.in/text-of-prime-minister-narendra-modis-keynote-address-at-pan-iit-global-summit
Vaccination campaign will kickstart in India as soon as the vaccine is approved by the scientists: PM,https://www.narendramodi.in/text-of-pm-s-closing-remarks-at-all-party-meeting
"When good deeds are done with the right spirit, they are accomplished in spite of opposition: PM",https://www.narendramodi.in/text-of-pm-s-address-at-dev-deepawali-mahotsav-in-varanasi-uttar-pradesh
Work is being done with intentions as pure as Gangajal: PM Modi,https://www.narendramodi.in/text-of-prime-minister-narendra-modi-s-address-at-the-inauguration-of-six-lane-widening-project-of-the-varanasi-prayagraj-section-of-nh-19
Influence of Guru Nanak Dev Ji is distinctly visible all over the world: PM Modi during Mann Ki Baat,https://www.narendramodi.in/prime-minister-narendra-modi-s-mann-ki-baat-with-the-nation-november-2020
India has Demonstrated that Sound Environmental Policies Can also be Sound Economics: PM,https://www.narendramodi.in/text-of-pm-s-address-at-the-3rd-re-invest-2020
The strength of our Constitution helps us in the time of difficulties: PM Modi,https://www.narendramodi.in/text-of-prime-minister-narendra-modi-s-address-at-concluding-session-of-80th-all-india-presiding-officers-conference
Positivity in thinking and possibilities in approach should always be kept alive: PM Modi,https://www.narendramodi.in/text-to-prime-minister-narendra-modis-address-at-the-centennial-foundation-day-celebration-of-university-of-lucknow
It will be ensured that the vaccine for citizens will meet all necessary scientific criteria: PM Modi,https://www.narendramodi.in/text-of-pm-s-closing-remarks-at-virtual-meeting-with-chief-ministers-on-covid-19
All MPs have taken care of both the products and the process in the productivity of Parliament: PM,https://www.narendramodi.in/text-of-pm-s-speech-at-inauguration-of-multi-storeyed-flats-for-mps-via-video-conferencing
"Climate change must be fought not in silos but in an integrated, comprehensive and holistic way: PM",https://www.narendramodi.in/text-of-prime-minister-narendra-modi-s-address-at-the-g-20-summit
Access to piped drinking water would improve the health of poor families: PM Modi,https://www.narendramodi.in/text-of-pm-s-address-at-foundation-stone-laying-ceremony-of-rural-drinking-water-supply-projects-in-uttar-pradesh
There is no such thing as 'cannot happen': PM Modi at 8th Convocation ceremony of PDPU,https://www.narendramodi.in/text-of-pm-s-address-on-8th-convocation-ceremony-of-pandit-deendayal-petroleum-university
Prime Minister’s statement at the virtual launch of RuPay card phase two in Bhutan,https://www.narendramodi.in/prime-minister-narendra-modi-s-statement-at-the-virtual-launch-of-rupay-card-phase-two-in-bhutan
There is immense scope to further economic ties between India and Luxembourg: PM Modi,https://www.narendramodi.in/text-of-prime-minister-s-opening-remarks-at-the-india-luxembourg-virtual-bilateral-summit
"In the Information era, first-mover does not matter, the best-mover does: PM Modi",https://www.narendramodi.in/text-of-prime-minister-narendra-modi-s-address-at-bengaluru-tech-summit
India has exciting opportunities: PM Modi at Bloomberg New Economic Forum,https://www.narendramodi.in/text-of-pm-s-address-at-3rd-annual-bloomberg-new-economy-forum-on-17th-november-2020
Finalisation of the BRICS Counter Terrorism Strategy an important achievement: PM,https://www.narendramodi.in/text-of-prime-minister-narendra-modi-s-intervention-during-12th-brics-virtual-summit
There is a need to ensure that countries supporting and assisting terrorists are held guilty: PM Modi,https://www.narendramodi.in/text-of-prime-minister-narendra-modi-s-opening-remarks-at-virtual-brics-summit-2020
PM Modi requests spiritual leaders to promote Aatmanirbhar Bharat by going vocal for local,https://www.narendramodi.in/text-of-pm-s-address-during-unveiling-of-‘statue-of-peace-to-mark-151st-birth-anniversary-celebrations-of-jainacharya-shree-vijay-vallabh-surishwer-ji-maharaj
"If anyone casts an evil eye on India, its soldiers are capable of giving a befitting reply: PM",https://www.narendramodi.in/text-of-pm-s-address-to-air-force-personnel-at-jaisalmer
